"Title","Country","Longitude","Latitude"
"Freddy vs. Jason","Canada",-113.64258,60.10867
"Freddy vs. Jason","Italy",12.83333,42.83333
"The Medallion","Hong Kong",114.1577,22.28552
"The Order","Germany",10.5,51.5
"Underworld","UK",-2.69531,54.75844
"Underworld","Germany",10.5,51.5
"Underworld","Hungary",20,47
"Anything Else","France",2,46
"Anything Else","UK",-2.69531,54.75844
"Cold Creek Manor","Canada",-113.64258,60.10867
"Cold Creek Manor","UK",-2.69531,54.75844
"Luther","Germany",10.5,51.5
"Under the Tuscan Sun","Italy",12.83333,42.83333
"School of Rock","Germany",10.5,51.5
"Lost in Translation","Japan",139.75309,35.68536
"House of the Dead","Germany",10.5,51.5
"House of the Dead","Canada",-113.64258,60.10867
"Mystic River","Australia",135,-25
"Party Monster","Netherlands",5.75,52.5
"Scary Movie 3","Canada",-113.64258,60.10867
"Wonderland","Canada",-113.64258,60.10867
"Beyond Borders","Germany",10.5,51.5
"In the Cut","Australia",135,-25
"In the Cut","UK",-2.69531,54.75844
"The Matrix Revolutions","Australia",135,-25
"Elf","Germany",10.5,51.5
"Looney Tunes: Back in Action","Germany",10.5,51.5
"Love Actually","UK",-2.69531,54.75844
"Love Actually","France",2,46
"Shattered Glass","Canada",-113.64258,60.10867
"The Last Samurai","New Zealand",174,-42
"The Last Samurai","Japan",139.75309,35.68536
"The Lord of the Rings: The Return of the King","New Zealand",174,-42
"Paycheck","Canada",-113.64258,60.10867
"Peter Pan","Australia",135,-25
"Peter Pan","UK",-2.69531,54.75844
"Casa de los babys","Mexico",-102,23
"Calendar Girls","UK",-2.69531,54.75844
"Monster","Germany",10.5,51.5
"Concert for George","UK",-2.69531,54.75844
"Touching the Void","UK",-2.69531,54.75844
"I'll Sleep When I'm Dead","UK",-2.69531,54.75844
"The Company","Germany",10.5,51.5
"Coffee and Cigarettes","Japan",139.75309,35.68536
"Coffee and Cigarettes","Italy",12.83333,42.83333
"Torque","Australia",135,-25
"The Butterfly Effect","Canada",-113.64258,60.10867
"The Perfect Score","Germany",10.5,51.5
"Catch That Kid","Germany",10.5,51.5
"Highwaymen","Canada",-113.64258,60.10867
"Against the Ropes","Germany",10.5,51.5
"Confessions of a Teenage Drama Queen","Germany",10.5,51.5
"Welcome to Mooseport","Germany",10.5,51.5
"Twisted","Germany",10.5,51.5
"Stateside","Germany",10.5,51.5
"Hidalgo","Morocco",-5,32
"Spartan","Germany",10.5,51.5
"NASCAR: The IMAX Experience","Canada",-113.64258,60.10867
"Taking Lives","Australia",135,-25
"Dawn of the Dead","Canada",-113.64258,60.10867
"Dawn of the Dead","Japan",139.75309,35.68536
"Dawn of the Dead","France",2,46
"Scooby-Doo 2: Monsters Unleashed","Canada",-113.64258,60.10867
"The Prince and Me","Czech Republic",15,49.75
"Ella Enchanted","Ireland",-8,53
"Ella Enchanted","UK",-2.69531,54.75844
"The Punisher","Germany",10.5,51.5
"Man on Fire","UK",-2.69531,54.75844
"Godsend","Canada",-113.64258,60.10867
"Envy","Australia",135,-25
"Mean Girls","Canada",-113.64258,60.10867
"Troy","Malta",14.43333,35.91667
"Troy","UK",-2.69531,54.75844
"A Day Without a Mexican","Mexico",-102,23
"A Day Without a Mexican","Spain",-4,40
"Harry Potter and the Prisoner of Azkaban","UK",-2.69531,54.75844
"Saved!","Canada",-113.64258,60.10867
"Around the World in 80 Days","Germany",10.5,51.5
"Around the World in 80 Days","Ireland",-8,53
"Around the World in 80 Days","UK",-2.69531,54.75844
"Dodgeball: A True Underdog Story","Germany",10.5,51.5
"King Arthur","UK",-2.69531,54.75844
"King Arthur","Ireland",-8,53
"A Cinderella Story","Canada",-113.64258,60.10867
"The Clearing","Germany",10.5,51.5
"The Bourne Supremacy","Germany",10.5,51.5
"Thunderbirds","UK",-2.69531,54.75844
"Thunderbirds","France",2,46
"Harold & Kumar Go to White Castle","Canada",-113.64258,60.10867
"Harold & Kumar Go to White Castle","Germany",10.5,51.5
"De-Lovely","UK",-2.69531,54.75844
"Maria Full of Grace","Colombia",-72,4
"Maria Full of Grace","Ecuador",-77.5,-2
"AVP: Alien vs. Predator","UK",-2.69531,54.75844
"AVP: Alien vs. Predator","Czech Republic",15,49.75
"AVP: Alien vs. Predator","Canada",-113.64258,60.10867
"AVP: Alien vs. Predator","Germany",10.5,51.5
"Yu-Gi-Oh!: The Movie","Japan",139.75309,35.68536
"Riding Giants","France",2,46
"Suspect Zero","UK",-2.69531,54.75844
"Suspect Zero","Germany",10.5,51.5
"Superbabies: Baby Geniuses 2","Germany",10.5,51.5
"Superbabies: Baby Geniuses 2","UK",-2.69531,54.75844
"Vanity Fair","UK",-2.69531,54.75844
"Vanity Fair","India",77,20
"We Don't Live Here Anymore","Canada",-113.64258,60.10867
"Resident Evil: Apocalypse","Germany",10.5,51.5
"Resident Evil: Apocalypse","France",2,46
"Resident Evil: Apocalypse","UK",-2.69531,54.75844
"Resident Evil: Apocalypse","Canada",-113.64258,60.10867
"Cellular","Germany",10.5,51.5
"Wimbledon","UK",-2.69531,54.75844
"Wimbledon","France",2,46
"Sky Captain and the World of Tomorrow","UK",-2.69531,54.75844
"Sky Captain and the World of Tomorrow","Italy",12.83333,42.83333
"Shaun of the Dead","UK",-2.69531,54.75844
"Shaun of the Dead","France",2,46
"Taxi","France",2,46
"A Home at the End of the World","Canada",-113.64258,60.10867
"Team America: World Police","Germany",10.5,51.5
"The Motorcycle Diaries","Argentina",-64,-34
"The Motorcycle Diaries","Chile",-71,-30
"The Motorcycle Diaries","Peru",-76,-10
"The Motorcycle Diaries","Brazil",-55,-10
"The Motorcycle Diaries","UK",-2.69531,54.75844
"The Motorcycle Diaries","Germany",10.5,51.5
"The Motorcycle Diaries","France",2,46
"The Final Cut","Canada",-113.64258,60.10867
"The Final Cut","Germany",10.5,51.5
"The Assassination of Richard Nixon","Mexico",-102,23
"The Grudge","Japan",139.75309,35.68536
"I Heart Huckabees","UK",-2.69531,54.75844
"I Heart Huckabees","Germany",10.5,51.5
